 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
제우스가 머리밖에 없는 이유는?|1등신이어서
일본 뱀이 쓸모가 없는 이유는?|독도 없고 재주도 없어서
바다가 축하를 해주면?|오호ㅊㅋ해
이발소에서 주먹으로 얼굴 맞으면 어떻게 되나?|이발사 함
수학자가 좋아하는 보석은?|4πr
가장 아름다운 접속사는?|But
아이를 키우고 싶은 사람의 지능지수는?|IQ 93
문과생이 수학문제 풀다 군대 간 이유는?|대입을 거꾸로 함
용궁 음악회에서 토끼를 초빙하는 이유는?|간주는 토끼가 필요해서
소녀가 강가로 여행 가면?|걸리버여행기
아버지가 생선 드실 때 하시는 말?|어두컴컴
채식하다가 영양실조로 죽으면?|비건(be gone)
"""스님이 숫자를 6까지 세었다""를 영어로?"|식스센스
위도우메이커가 한무당에게 찾아간 이유는?|한방이면 충분해
목구멍이 포도청 청포도|목목목목목목목목목 멍멍 도청도청도청도청 청 도도도도
수리 기사 만족도는 ABCD 중에 어디에 쓸까?|AS세요
거울을 AS 하면 기분이 좋은 이유는?|ASSA
산소를 기피하는 사름은?|오뚜기피자
2번 고친 기계는 다 똑같은 이유는?|as as 했기 때문
눈 건강을 조심해야 하는 유적지는?|안압지
부산에서 가장 많이 팔리는 화장품은?|마스까라
우사인볼트가 늙으면?|퀵실버
상황마다 다르게 혼날 때 듣는 소리는?|이러 케바케 못해?
멍청한 옥수수를 영어로?|실리콘
어지러움이 죽음 직전의 증세인 이유는?|dizzy니까
우리집 뒤편에 사는 축구 선수는?|반대사르
9가 하늘로 올라가면?|비상구
존나 쪼개는 동물은?|갯조개
지브리 스튜디오가 돈 버는 방법은?|토토로
화학과 학생이 일본 만화가 필요할 때 하는 말은?|망가니즈
목에 치명타가 터지면?|크리넥스
전현무가 제일 무서워하는 돌은?|현무암
사채업자들이 쉬는 요일은?|월화목토(수금일 제외)
동네에 농협이 3군데 있으면 사람들이 싫어하는 이유는?|냄새나서(NH₃)
"""아빠 그만해""를 일본어로?"|파파야메론
졸라 재밌다를 1자로?|쫾
열쇠가 나무에 걸려 있으면?|나무위키
검은사막의 반대말은?|방패는 팔아 신중하게
죽은 소가 너무 많으면?|산소 부족
침을 바닥에 뱉을 때 얼마나 뱉을까?|109g
원더걸스가 먹는 쌀은?|텔미
일본에서 때를 그만 밀라고 할 때 하는 말은? |야메때
세상에서 제일 똑똑한 새는?|하버드
"""지옥이 왔다""를 혀 짧은 소리로 내면?"|조르지오 알마니
첼시 감독의 성은?|첼
은행이 가장 좋아하는 화가는?|고갱
물이 썩으면 나는 냄새?|수상한 냄새
길에서 파를 먹고 있는 사람은?|스트리트 파이터
세상에서 시를 제일 먼저 쓴 사람은?|원시인
북한에서 공을 살 때 하는 말?|공산당
지휘관들이 빨간색을 싫어하는 이유는?|적 색과 동의어라서
남자아이들끼리 낚시를 가면?|보이스 피싱
시를 읽지 않으면 도전 없는 것과 같은 이유는?|도前이 없으니까(계이름)
마음을 전하고 싶다면 포카리 스웨트|'전해질' 음료니까
유럽 입자 물리 연구소에서 거짓말하면 안 되는 이유는?|입자가 속기 때문에
동물원의 입장료는?|4820원(482공원)
쓰기는 분명히 썼는데 읽을 수 없는 것은 무엇인가?|모자
양초가 가득 차 있는 상자를 3자로?|초만원
사람이 먹지 못하는 간장은?|애간장
사이다를 마셨는데 토를 했는데 콜라가 나왔다? 왜 그럴까?|코오크
항문질환을 앓고 있는 양은?|양치질
이빨이 식으면?|시금치
토끼들이 제일 잘하는 것은?|토끼기
가슴의 무게는?|4근(두근 두근)
네가 가진 휴대폰은 어느 나라에서 제조된 줄 아니?|일본(니 폰)
한국에 초콜릿을 수입한 사람의 성은?|허씨
배에 할배 4명이 타고 있으면?|배틀넷
공부 잘하는 사람이 연기를 잘하는 이유는?|배우신분
4가 커지면?|대포
"""따님이 기분이 좋네요""를 4자로?"|딸기모찌
태국에서 틀어주는 노래는?|타이틀곡
세상에서 가장 로맨틱한 닭은?|치킨너겟
레이싱카를 거꾸로 하면?|레이싱카(Race car, 뒤로 적어도 동일)
"""여보세요""는 누가 하는 말?"|임창정
세종대왕이 환생해서 처음으로 한 소리는?|응애
신발 가게를 영어로 하면?|슈 바이 처
매가 약인 이유는?|새로고침
노란색 립스틱을 바르면?|입색로랑
경북 성주가 쓸쓸한 지역인 이유는?|참외딴곳이라서
집에 있는 사람을 3자로?|지배인
흥부한테 가난하면서 애를 줄줄이 낳은 이유를 물어봤을 때 흥부가 한 대답은?|놀부 동생 흥분대요
동물들도 세금을 낼까?|양도 소득세 냄
미국에서 연필 사용이 금지된 곳은?|펜실 벤이야
유대인이 좋아하는 음료는?|포도쥬스(for the Jews)
if와 if가 만나면?|조건만남
돌을 정말 좋아하는 사람은?|도레미 친 사람
아인슈타인이 죽어서 지옥에 간 이유는?|타인은 지옥이다.
빛을 보면 눈이 따가운 이유는?|가시광선이라서
기아와 해태가 맞붙으면?|기 대 해
화성 연쇄 살인마가 소시오패스인 이유는?|공 소시효패스 해서
양이 제한되어 있는 음식은?|한정식
야구 방망이가 부러졌을 때 하는 외국어는?|베트남어?
Facebook 직원들이 연봉 얼마나 받을까?|페이 수북
뒤로 걸으면?|아프로디테(앞으로 뒷태)
남쪽 성벽에서 일어난 전투를 3자로?|월남쌈
스님이 오줌 싼 곳은?|중 요한 곳
비만인의 배를 영어로 하는 말은?|배이스볼
꼰대들이 커피에 대해 잘 알고 있는 이유는?|라떼는 말이야..
스님이 세운 나라는?|중국
오이가 믹서기에 갈릴 때 하는 소리는?|갈릴레 오 갈릴레 이
아주 멍청한 대깨 좌파를 4자로?|능지처참
위염에 걸리면 안 되는 이유는?|위 험해지니까
헬스장에서 가장 힘이 쎈 사람은?|헬스장갑
세상에서 가장 매운 오줌은?|할라피 뇨
세상에서 가장 잘 먹는 사람은?|프로이트
목탁을 3자로?|중 장비
전쟁 시 피해야 할 분대 인원수는?|다섯명(오인 사격하니까)
외국인이 홍어를 먹을 때 하는 소리는?|아 모냐?(A Mmonia?)
언론이 몇 명일까?|1명(alone)
가장 많이 보이는 색깔은?|자주색
다음 약속 장소를 잡을 때 하는 말은?|다음에 만날 때는 적이다.
암컷 꽃게가 식탐이 좋은 이유는?|게girl 스러우니까
괌에 사는 아기에서 비린내가 나는 이유는?|괌애기라서
대머리를 때리면?|빡침
태국에서 불이 나면?|타이탄
무를 많이 넣어서 끓인 국은?|무스탕
나무가 4개 있으면?|포트리스
들어갈 때는 잔뜩 짊어지고 나올 때는 아무것도 없는 것은?|숟가락
위로 올리면 하나가 되고 내리면 둘이 되는 것은?|지퍼
물고기가 방귀를 뀌면?|생선가스
힘센 말과 고양이를 4자로?|슈퍼마켓
이가 빠진 호랑이는?|호랑
어린이를 다른 말로?|키즈나 아이
공무원이 단명하는 이유는?|나라의 '녹'을 먹고 살아서
소련의 경제 정책이 실패한 이유는?|소비에트만 있고 생산에트가 없어서
대머리가 당당한 이유는?|숱이 심(수치심)이 없어서
북쪽이 활활 타면?|타노스
이빨이 돌이면?|자갈치
돌이 5개 모이면?|도로(돌5)
공을 늘리면?|공연장
공의 아버지는?|공부
하하보다 키가 작은 사람이 웃으면?|하하下
양심 없는 새끼를 다른 말로 하면?|심 판 자
드라큘라가 힘들 때 하는 것은?|피로회복
최고의 노인에게 붙는 영어 수식어는?|perfectly
"""일어 선생님이 학생에게 몇 대 맞을래""를 3자로?"|야매때
소년원을 4자로?|Bully수거
상상만 하던 사람이 행동에 들어갈 때는?|if로 부족할때
싸게 산 물건에 하자가 있을까 걱정되는 마음을 5자로?|Cheap cheap 한 마음
최저 학점을 피하기 위해 하는 게임 장르는?|FPS
우리 집에 있는 한무당은?|밥솥(맨날 뜸 들임)
확인의 반대는?|소심하게 아웃
요즘 양아치를 3자로?|갱 신형
국은 국인데 이동하는 국은?|김밥천국 장국
죠스바 먹다가 뺏기면 하는 말?|죠 쓰바
양계장에 불이 나면?|계란 파국
인체에서 가장 강화 등급이 높은 부위는?|9강
리볼버로 싸우면?|육탄전
하늘의 별 따기보다 어려운 것은?|하늘에 별 달기
일본인이 아침에 죽은 이유는?|아사
우주에서 입을 수 없는 옷은?|노 스페이스
조선 말기에 일본이 친일파들에게 접근하면서 한 말은?|사요나라
메르스 코로나바이러스를 3자로?|메로나
신이 승천하면?|주가상승
문과만 사는 도시는?|수1
짱구집 가전제품이 다 새 것인 이유는?|신형만 있어서
위도우메이커가 원룸에서만 사는 이유는?|한방이면 충분해서
가장 무거운 액체는?|아세톤
세상에서 가장 더운 여자는?|더운걸
결혼을 하면 생기는 돈은?|사돈
자기만 옳다고 하는 사람이 사는 집은?|고집
땅에 심어도 새싹이 나지 않는 씨는?|비타민C
한국인 직원 304명이 다니는 회사는?|한국인삼공사
술을 좋아하는 어부가 2명 있으면?|더불 어민 주당
사람의 세포수가 엄청나게 많은 이유는?|Cell 수가 없으니까
남자는 힘, 여자는?|헐
자동차가 3대 있으면?|스리랑카
아이스크림이 죽었다|차가와서
배드민턴 동호회에서 편파판정이 제일 심한 연예인은?|유아인
사람이 죽지 않는 산맥은?|안데스산맥
세상에서 가장 긴 음식은?|참기름
참기름 다음으로 긴 음식은?|들기름
그다음으로 긴 음식은?|김
바나나가 웃으면?|바나나킥
바나나우유가 웃으면?|빙그레
치과의사들이 가장 싫어하는 아파트는?|이 편한 세상
사과가 웃으면?|풋사과
펭귄이 다니는 중학교는?|냉방중
펭귄이 다니는 고등학교는?|냉장고
펭귄이 다니는 대학교는?|빙하시대
식인종이 입맛이 떨어졌을 때 하는 말은?|에이 살맛 안나
신사가 자기소개할 때 쓰는 말은?|신사임당
푸가 여러 마리 있으면?|푸들
입이 평화로우면?|마우스피스
불에 타는 국사책을 3자로?|불국사
한 입 베어먹은 사과는?|파인애플
이상한 사람들만 가는 곳은?|치과
서울에서 땅값이 제일 싼 동네는?|일원동
병아리가 잘 먹는 약은?|삐약삐약
비가 자기소개할 때 하는 말은?|나비야
텔레토비에서 뽀가 떠나면?|뽀빠이
도둑이 가장 싫어하는 아이스크림은?|누가바
세상에서 가장 뜨거운 과일은?|천도복숭아
피자가 놀라면?|피자헛
호주의 돈은?|호주머니
'미소'의 반대말은?|당기소
동물원에서 살 수 있는 동물은?|판다
'당신은 비를 아십니까?'를 4자로?|너비아니
sg워너비 '라라라'를 한 키 낮춰서 부르면?|'솔솔솔'
빵이 시골로 간 까닭은?|소보루
처음 만나는 소가 하는 말은?|반갑소
소녀시대가 티를 팔다가 지나가는 아저씨가 하는 말은?|티파니
소녀시대가 타고 다니는 차는?|제시카
고양이를 무서워하지 않는 쥐는?|박쥐
장사꾼들이 싫어하는 경기는?|불경기
'개가 사람을 가르친다'를 4자로?|개인지도
세상에서 가장 달콤한 술은?|입술
도둑이 가장 좋아하는 아이스크림은?|보석바
"""묻고 더블로 가""를 영어로?"|Ask and go to the blue!
상어가 만만한 이유는?|조스로 보기 때문
네일 아티스트들이 일찍 죽는 이유는?|오늘 네일 해서
활을 무기로 쓰면 반드시 이기는 기간은?|활로윈
눈 깜짝할 사이에 이루어지는 것은?|윙크
늘 무엇인가를 찾고 있는 스님은?|탐색중
갓 출가하여 열심히 수도생활하는 스님은?|노력중
가을에 제비가 남쪽으로 날아가는 이유는?|걸어갈 수 없으니까
고체를 깨면 액체, 그 액체에 열을 가하면 다시 고체가 되는 것은?|달걀
나오면 들어갈 수 없는 것은?|치약
나무를 주면 살고, 물을 주면 죽지 말라고 해도 죽는 것은?|장작불
네모졌는데도 세상을 잘 굴러다니는 것은?|종이돈
고추장, 간장, 된장 섞어서 먹으면 무슨 장 맛이 날까?|젠장
축구를 잘하는 순대는?|나 축구선순대
눈사람의 반대 말은?|일어선 사람
가만히 있는데 잘 돌수록 좋은 것은?|머리
가장 어렵게 지은 절은?|우여곡절
걱정이 많은 사람이 오르는 산은?|태산
가운데 구멍이 뻥 뚫려있는데도 물에 가라앉지 않는 것은?|튜브
가난하지만 부자인 사람은?|아버지와 아들
가장 가벼운 사냥 기구는?|파리채
곤충의 몸을 3등분 하면?|죽는다
기린의 목이 긴 이유는?|머리가 몸에서 멀리 떨어져 있기 때문
동그라미 2개, 별이 2개 있으면?|영영이별
달리면 서고 안 달리면 쓰러지는 것은?|자전거
닭이 길을 가다가 넘어지면?|닭 꽝
로또복권 당첨 확률을 2배 올리는 방법은?|두 장 산다
와이프가 목돈을 들고 집에 그건 무엇일 가능성이 높은가?|아마계돈
먹고살기 위해 찾는 책은?|호구지책
발버둥 치는 사람들이 많이 모인 곳은?|수영장
먹지 않아도 맛이 단 것은?|단잠
비가 올 때 하는 욕은?|byc
말괄량이 삐삐를 7자로?|말괄량이 호출기
법적으로 바가지요금을 받아도 되는 장사는?|바가지 장사
바닷가에서는 해도 되는 욕은?|해수욕
못다 핀 꽃 한 송이를 4자로?|꽃봉오리
조용히 입 다물고 있으라는 한자는?|馬
먹구름 뒤에 있는 알파벳은?|B
머리에 총을 맞아도 살 수 있는 방법은?|총알만 맞지 않으면 된다.
몸을 버리고 결국 짓밟히는 것은?|담배꽁초
어떤 내기에도 져본 적이 없는 과학자는?|다윈
"""사과 드세요""를 영어로?"|스티브 잡수
스님들의 삶을 4자로?|불가살이
영희네 형제는 7명이다|영희
있을 수도 있고 없을 수도 있는 섬은?|아마도
어깨로 먹고 허리로 똥 누는 것은?|맷돌
"""옷을 홀딱 벗은 남자의 그림""을 4자로?"|전라남도
세계에서 몸집에 제일 큰 여자의 이름은?|태평양
이 세상에 태어나 단 한 번만 먹고 입을 다물어 버리는 것은?|편지봉투
아무도 믿을 수 없다는 사람이 가장 믿는 신은?|자기 자신
